title,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
Ava,0.0,0.0,,4.0,NR,2.0,2.0,,2.0,,15,Drama,222,"Moving, unrelenting tale of Iranian teen's fall from grace.",3,ava,4,0,0,0
The House of Tomorrow,2.0,3.0,,4.0,NR,3.0,3.0,,1.0,,15,Comedy,223,Likable punk rock coming-of-age story has heavy language.,3,the-house-of-tomorrow,4,0,0,0
The Week Of,0.0,2.0,,3.0,NR,2.0,3.0,,2.0,,14,Comedy,224,Raunchy comedy about dad throwing a wedding for daughter.,1,the-week-of,4,0,0,0
Kings,2.0,3.0,,4.0,R,3.0,4.0,,4.0,,16,Drama,225,"Uneven LA riots drama has violence, sex, and language.",2,kings,3,0,0,0
The Rachel Divide,0.0,0.0,,4.0,NR,2.0,1.0,,1.0,,15,Documentary,226,"Docu about controversial ""trans-racial"" woman; cursing.",3,the-rachel-divide,4,0,0,0
Disobedience,0.0,2.0,,4.0,R,2.0,5.0,,1.0,,17,Drama,227,"Intimate, mature relationship between two complex women.",4,disobedience,3,0,0,0
Candy Jar,0.0,0.0,,4.0,NR,3.0,1.0,,1.0,,13,Drama,228,Drama about debate team rivals has some cursing.,3,candy-jar,4,0,0,0
Psychokinesis,0.0,3.0,,4.0,NR,0.0,0.0,,4.0,,15,Action/Adventure,229,Quirky but violent Korean superhero movie has swearing.,4,psychokinesis,4,0,0,0
Tiny Shoulders: Rethinking Barbie,3.0,1.0,,2.0,NR,4.0,1.0,,0.0,,10,Documentary,230,"Comprehensive docu about iconic, controversial doll.",4,tiny-shoulders-rethinking-barbie,4,0,0,0
Bill Nye: Science Guy,1.0,1.0,,0.0,NR,3.0,0.0,,1.0,,10,Documentary,231,"More mature, still kid-friendly Bill Nye inspires.",4,bill-nye-science-guy,4,0,0,0
Paddington 2,1.0,0.0,1.0,0.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,232,"Charming, heartfelt sequel entertains, inspires compassion.",4,paddington-2,1,1,1,1
Hostiles,0.0,1.0,,4.0,R,2.0,1.0,,4.0,,16,Western,233,"Lots of violence, some language in Western road movie.",3,hostiles,3,0,0,0
Film Stars Don't Die in Liverpool,0.0,1.0,,4.0,R,3.0,3.0,,1.0,,15,Romance,234,"Brief nudity, language in drama based on real-life romance.",3,film-stars-dont-die-in-liverpool,3,0,0,0
Den of Thieves,2.0,2.0,,5.0,R,0.0,3.0,,4.0,,16,Action/Adventure,235,"Violent, overlong heist movie has iffy messages.",2,den-of-thieves,3,0,0,0
Forever My Girl,2.0,3.0,,3.0,PG,4.0,2.0,,2.0,,10,Romance,236,"Sweet romance is all about family, faith; some drinking.",3,forever-my-girl,1,0,0,0
Maze Runner: The Death Cure,0.0,0.0,,3.0,PG-13,3.0,1.0,,4.0,,13,Action/Adventure,237,Violent dystopian trilogy finale wraps us loose ends.,3,maze-runner-the-death-cure,2,0,0,0
The Final Year,0.0,0.0,,3.0,NR,3.0,0.0,,2.0,,13,Documentary,238,Revealing political documentary has a few intense moments.,3,the-final-year,4,0,0,0
Dear Dictator,1.0,0.0,,4.0,NR,1.0,2.0,,2.0,,15,Comedy,239,"Weak comedy about teen, despot has language, sexuality.",2,dear-dictator,4,0,0,0
Zombies,0.0,0.0,2.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,8,Family and Kids,240,Teens challenge stereotypes in lively Disney musical.,3,zombies,4,1,1,1
Digimon Adventure Tri: Loss,3.0,0.0,0.0,1.0,NR,2.0,0.0,0.0,0.0,3.0,8,Action/Adventure,241,"Cartoon violence, peril in continuing anime story.",2,digimon-adventure-tri-loss,4,1,1,1
44 Pages,0.0,1.0,,0.0,NR,4.0,1.0,,2.0,,10,Documentary,242,Informative but dry docu on beloved children's magazine.,3,44-pages,4,0,0,0
I Feel Pretty,4.0,3.0,,3.0,PG-13,3.0,3.0,,2.0,,14,Comedy,245,Fun but uneven comedy tackles self-esteem; some racy bits.,3,i-feel-pretty,2,0,0,0
Super Troopers 2,0.0,4.0,,5.0,R,1.0,5.0,,3.0,,17,Comedy,246,"Sex, drugs, language in funny but over-the-top sequel.",3,super-troopers-2,3,0,0,0
Traffik,1.0,3.0,,4.0,R,2.0,3.0,,5.0,,17,Thriller,247,"Nasty, violent thriller about kidnapped/abused women.",1,traffik,3,0,0,0
Dude,0.0,5.0,,5.0,NR,0.0,4.0,,3.0,,17,Comedy,248,"Coming-of-age dramedy: teens drink, take drugs, have sex.",3,dude,4,0,0,0
Kodachrome,2.0,3.0,,4.0,NR,0.0,3.0,,2.0,,15,Drama,249,Heavy family drama has language and mature themes.,2,kodachrome,4,0,0,0
Ghost Stories,0.0,2.0,,4.0,NR,2.0,0.0,,4.0,,15,Horror,250,English horror anthology is weirder than it is scary.,3,ghost-stories,4,0,0,0
Mercury 13,0.0,0.0,,0.0,NR,3.0,0.0,,0.0,,10,Documentary,251,Inspiring docu about '60s female pilots who faced sexism.,4,mercury-13,4,0,0,0
The Post,0.0,3.0,,3.0,PG-13,4.0,0.0,,2.0,,13,Drama,252,"Well-acted, relevant drama about freedom of the press.",4,the-post,2,0,0,0
American Folk,0.0,2.0,,3.0,PG,4.0,0.0,,1.0,,10,Drama,253,Mild language in music-fueled 9/11 road-trip drama.,4,american-folk,1,0,0,0
